QR;ToolNummer;ToolName;Typ;Radius;Eckenradius;Spitzenwinkel;Eintauchwinkel;Schneiden;Schnittlaenge;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Steigung;Message1;Message2;Message3;Message4;Message5;Lage
120824103631;730;D3.0_BOHRER_VHM_8XD;1;1.5;0;0;0;1;24;28;160;157;0;122790 3;308192 6;0;309880 63;HSK63;Configmachine
120824120746;276;D4_R0.4_TORUS_STAHL;23;2;0.4;0;2.5;4;11;13;143;103;0;206357 4 0.4;308192 6;0;309880 63;HSK63;C32
120824142657;;;;;;;;;;;;;;;308192 6;;;;
120824104503;758;D5.8_BOHRER_VHM;1;2.9;0;135;0;1;38;43;169;0;0;123103 5.8;308192 6;0;309880 63;HSK63;C32
120824090149;;;;;;;;;;;;;;;308192 6;;;;
120824142110;1160;D6_PILOT_VHM_ALU;1;3;0;140;0;1;44;51;171.5;160;0;122606 6;308192 6;;309880 63;HSK63;
120824141857;1150;D5_PILOT_VHM_ALU;1;2.5;0;140;0;1;43;45;173;;0;122606 5;308192 6;;309880 63;HSK63;
120824073657;155;VHM_BOHRER_D6.6;1;3.3;0;135;0;1;50;54;178.5;177;0;122715 6.6;308192 8;0;309880 63;HSK63;C32
120824074404;176;VHM_BOHRER_D7.5_M8;1;3.75;0;135;0;1;46;52;175.5;177;0;122715 7.5;308192 8;0;309880 63;HSK63;C32
120824075858;194;VHM_BOHRER_D7.8_8H7;1;3.9;0;135;0;1;50;54;177;177;0;122715 7.8;308192 8;0;309880 63;HSK63;C32
120824084137;203;VHM_REIBAHLE_8H7;3;4;0;0;0;4;63;63;185.5;188;0;164362 8;308192 8;0;309880 63;HSK63;C32
120824103229;768;D6.8_BOHRER_VHM;1;3.4;0;135;0;1;48;54;180;0;0;123103 6;308192 8;0;309880 63;HSK63;C32
120824142837;1180;D8_PILOT_VHM_ALU;1;4;0;140;0;1;51;54.5;174.5;177;0;122606 8;308192 8;;309880 63;HSK63;
120824140903;589;M10_GEWINDEFRAESER_HORN;7;3.3;0;0;0;1;0.9;20;153;105;0;DCG.4.M10.150.6.2.08 AN25;308192 8;0;309880 63;HSK63;C32
120824141120;;;;;;;;;;;;;;;308192 8;;;;
120824102400;1200;D10_PILOT_VHM_ALU;1;2.5;0;140;0;1;58;70;190;151;0;122606 5;308192 10;;309880 63;HSK63;
120824080112;195;VHM_BOHRER_D9.8_10H7;1;4.9;0;135;0;1;52;57;182.5;185;0;122715 9.8;308192 10;;309880 63;HSK63;
120824073130;156;VHM_BOHRER_D9;1;4.5;0;135;0;1;54;58;180.7;185;0;122715 9;308192 10;0;309880 63;HSK63;C32
120824084435;204;VHM_REIBAHLE_10H7;3;5;0;0;0;4;78;78;201.5;204;0;164362 10;308192 10;0;309880 63;HSK63;C32
120824074615;177;VHM_BOHRER_D9.4_M10;1;4.7;0;135;0;1;56;62;199;185;0;122715 9.4;308192 10;0;309880 63;HSK63;C32
120824132347;;;;;;;;;;;;;;;308192 10;;;;
120824085756;205;VHM_REIBAHLE_12H7;3;6;0;0;0;4;74;74;196.4;200;0;164362 12;308192 12;0;309880 63;HSK63;C32
120824072839;157;VHM_BOHRER_D11;1;5.5;0;135;0;1;56;61;191.5;195;0;122715 11;308192 12;;309880 63;HSK63;
120824125352;802;D10.2_BOHRER_VHM_BLAU;1;5.1;0;140;0;1;70;72;200;195;0;122659 10.2;308192 12;0;309880 63;HSK63;C32
120824074840;178;VHM_BOHRER_D11.2_M12;1;5.6;0;135;0;1;66;71;196.3;195;0;122715 11.2;308192 12;0;309880 63;HSK63;C32
120824140355;;;;;;;;;;;;;;;308192 12;;;;
120824080359;196;VHM_BOHRER_D11.8_12H7;1;5.9;0;135;0;1;62;67;191;195;0;122715 11.8;308192 12;;309880 63;HSK63;
120824101646;835;D13.5_BOHRER_VHM_BLAU;1;6.75;0;140;0;1;75;79;204;201;0;122659 13;308192 14;0;309880 63;HSK63;C32
120824140604;;;;;;;;;;;;;;;308192 16;;;;
120824141642;;;;;;;;;;;;;;;308192 16;;;;
120824143352;;;;;;;;;;;;;;;304272 20;;;;
120824145459;;;;;;;;;;;;;;;304272 20;;;;
090824111057;83;D4_SCHRUPP_SLOTMASCHINE;9;2;0;0;2.5;3;8;12;87;83;0;205550 4;304272 6;0;309880 63;HSK63;C32
090824111439;84;D5_SCHRUPP_SLOTMASCHINE;9;2.5;0;0;2.5;3;13;18.5;87.5;86;0;205550 5;304272 6;0;309880 63;HSK63;C32
130824135351;85;D6_SCHRUPP_SLOTMASCHINE;9;3;0;0;2.5;5;14;20;88;85;0;205550 6;304272 6;0;309880 63;HSK63;C32
120824145640;;;;;;;;;;;;;;;304272 8;;;;
120824144912;;;;;;;;;;;;;;;304272 8;;;;
120824130707;;;;;;;;;;;;;;;304272 8;;;;
090824115958;112;D8_SCHRUPP_UEBERLANG;9;4;0;0;2.5;4;17;50;129.5;116;0;205718 8;304272 8;0;309880 63;HSK63;C32
